റോമൻ roman
ഒരനുഷ്ഠാനമായിരുന്നു oranushatanamayirunnu
മതത്യാഗം mathathyagam
അഥവാ	athavaa
വിഗ്രഹാരാധന vigraharadhana
കൊലപാതകം kolapathakam
വ്യഭിചാരം vribhicharam
എന്നിങ്ങനെ enningane
ഗുരുതരമായ gurutharamaya
മൂന്നിനം moonninam
മാത്രം mathram
ആവശ്യപ്പെടുന്ന avashyappedunna
പരിഹാരക്രിയയായിരുന്നു pariharakriyayayirunnu
അപ്പോൾ appol
അത് athu
മറ്റു mattu
പാപങ്ങളുടെ papangalude
പൊറുതിയ്ക്ക് poruthiykku
പരസ്പരമുള്ള parasparamulla
ഒരുമപ്പെടലും orumappedalum
പ്രാർത്ഥനയും prarthanayum
സ്വകാര്യപ്രായശ്ചിത്തവും swakaryaprayshchithavum
സൽപ്രവൃത്തികളും salpravarthikalum
മതിയായിരുന്നു mathiyayirunnu
എന്നാൽ ennal
മേല്പറഞ്ഞ melpparanja
പരസ്യമായി parasyamayi
ചെയ്ത് cheythu
സമൂഹത്തിന് samoohatthinu
ദുർമാതൃകയായവർ durmathrikayaayavar
മെത്രാന്റെ methrante
മുന്നിൽ munnil
കുറ്റം kuttam
ഏറ്റുപറയാൻ ettuparayan
ബാദ്ധ്യസ്ഥരായിരുന്നു baddhyastharayirunnu
തുടർന്ന് thudarnnu
അനുതാപി-യുടെ anuthapi-yude
മുദ്ര mudra
നൽകി nalki
മാറ്റിനിർത്തപ്പെടുന്ന matinirthappedunna
ഇവർ ivar
പാപപ്പൊറുതി papapporuthi
ലഭിക്കും labhikkum
വരെ vare
പരസ്യമായ parasyamaya
പ്രായശ്ചിത്തപ്രവർത്തികളിൽ prayshchithapravarthikalil
മുഴുകിയും muzhukiyum
ദിവ്യകാരുണ്യം divyakarunyam
നിഷേധിക്കപ്പെട്ടും nishedhikkappettum
കഴിഞ്ഞു kazhinju
പാപമോചനം papamochanam
ആണ്ടിലൊരിക്കൽ andilorikkal
മാത്രം mathram
പെസഹാവ്യാഴാഴ്ച pesahavyazhazhcha
ദിവസം divasam
നൽകപ്പെട്ടു nalkappettu
പാപമോചനത്തിനു papamochanathinu
ശേഷവും sheshavum
അനുതാപിക്ക് anuthapikku
നിർദ്ദിഷ്ടമായ nirddishtamaya
പ്രായശ്ചിത്തപ്രവർത്തികൾ prayshchithapravarthikal
നിർവഹിക്കേണ്ടിയിരുന്നു nirvahikkendiyirunnu
സാധാരണഗതിയിൽ sadharanagathiyil
ജീവിതത്തിൽ jeevithathil
ഒരിക്കൽ orikkal
അനുവദിക്കപ്പെടുന്ന anuvadikkappedunna
അനുഷ്ഠാനമായിരുന്നു anushtanamayirunnu
ഈവിധമുള്ള eevidhamulla
അതിനു athinu
ശേഷം shesham
വീണ്ടും veendum
പാപത്തിൽ papathil
വീഴുന്നവരുടെ veezhunnavarude
പശ്ചാത്താപം pashchathapam
ആത്മാർത്ഥതയില്ലാത്തതായി aathmartdhathayillathathayi
വിലയിരുത്തപ്പെട്ടു vilayiruthappettu
പൊതുവർഷം pothuvarsham
ആറാം aaram
നൂറ്റാണ്ടിന്റെ noottandinte
അവസാനത്തോടെ avasanathode
പൗരസ്ത്യ-ഐറിഷ് pourasthya-airish
സന്യാസപാരമ്പര്യങ്ങളുടെ sanyasaparamparyangalude
സ്വാധീനത്തിൽ swadheenathil
രഹസ്യപാപങ്ങൾ rahasyapapangal
പോലും polum
കുമ്പസാരിക്കുന്ന kumpasarikkunna
പതിവ് pathivu
നിലവിൽ nilavil
വന്നു vannu
അത്തരം atharam
കുമ്പസാരങ്ങളിൽ kumpasarangalil
പാപമോചനം papamochanam
സ്വകാര്യമായും swakaryamayum
അപ്പൊൾത്തന്നെയും appolthanneyum
ലഭിച്ചു labhichu
നിശ്ചിതദിവസം nishchithadivasam
എന്നതിനു ennathinu
പകരം pakaram
ആണ്ടുവട്ടം aanduvattam
മുഴുവൻ muzhuvan
ഈവിധം eevidham
കുമ്പസാരവും kumpasaravum
പാപമോചനവും papamochanavum
നടപ്പിലായി nadappilayi
അതോടെ athode
ജീവിതകാലത്ത് jeevithakalathu
ഒട്ടേറെത്തവണ otterethavana
സ്വീകരിക്കാവുന്ന sweekarikkavunna
കൂദാശയായി koodashayayi
കുമ്പസാരം kumpasaram
രൂപാന്തരപ്പെട്ടു roopantharappettu
പാപമോചനാശീർവാദത്തിനുശേഷം papamochanaasheervadathinushesham
കുമ്പസാരിക്കുന്നയാൾ kumpasarikkunnayal
കുമ്പസാരത്തിനുള്ള kumpasarathinulla
ജപത്തിന്റെ japathinte
ബാക്കിഭാഗവും bakkibhagavum
തുടർന്ന് thudarnnu
മനസ്താപപ്രകരണവും manasthapaprakaranavum
ഉരുവിടുന്നു uruvidunnu
ദൈവസന്നിധിയിൽ daivasannidhiyil
ഏറ്റുപറയുന്ന ettuparayunna
പ്രാർത്ഥനയാണ് prarthanayanu
മനസ്താപപ്രകരണം manasthapaprakaranam
എന്റെ ente
ദൈവമേ daivame
ഏറ്റവും ettavum
നല്ലവനും nallavanum
എല്ലാറ്റിനും ellattinum
ഉപരിയായി upariyayi
സ്നേഹിക്കപ്പെടുവാൻ snehikkappeduvan
യോഗ്യനുമായ yogyanumaya
അങ്ങേക്കെതിരായി angekkethirayi
പാപം papam
ചെയ്തുപോയതിനാൽ cheythupoyathinal
പൂർണ്ണഹൃദയത്തോടെ poornahridayathode
ഞാൻ njan
മനസ്തപിക്കുകയും manasthapikkukayum
പാപങ്ങളെ papangale
വെറുക്കുകയും verukkukayum
ചെയുന്നു cheyyunnu
എന്നുപറഞ്ഞാണ് ennuparanjanu
അത് athu
തുടങ്ങുന്നത് thudangunnathu
മാരകപാപാവസ്ഥയിലുള്ളവർക്ക് marakapapavasthayilullavarkku
കുമ്പസാരത്തിലൂടെയുള്ള kumpasarathiloodeyulla
നേടിയല്ലാതെ nediyathallathe
വിശുദ്ധ vishudha
കുർബാനയുടെ kurbanayude
സ്വീകരണം sweekaranam
നിഷിദ്ധമാണ് nishiddhamanu
എന്നു ennu
മാത്രമല്ല matrhamalla
മാരകപാപാവസ്ഥയിൽ marakapapavasthayil
കുർബാന kurbana
സ്വീകരിക്കുന്നത് sweekarikkunnathu
മറ്റൊരു mattoru
മാരകപാപം marakapapam
ആകുമെന്നും akumennum
സഭ sabha
പഠിപ്പിക്കുന്നു padhippikkunnu
ജ്ഞാനസ്നാനം njanasnanam
സ്വീകരിച്ചതിനുശേഷം sweekarichathinushesham
ചെയ്തിട്ടുള്ള cheythittulla
പാപങ്ങളിൽ papangalil
നിന്ന് ninnu
മുക്തിനേടാനുള്ള mukthinedanulla
ഒരേയൊരു oreyoru
സാധാരണമാർഗ്ഗം sadharanamarggam
കുമ്പസാരമാണെന്നും kumpasaramanennum
പഠിപ്പിക്കുന്നുണ്ട് pattippikkunnundu
1215-ലെ 1215-le
ലാറ്ററൻ lattaran
സൂനഹദോസിനെതുടർന്ന് soonahadosinethudarnnu
കാനൻ kanan
നിയമത്തിൽ niyamathil 
വരുത്തിയ varuthiya
മാറ്റം mattam
വർഷത്തിലൊരിക്കലുള്ള varshathilorikkalulla
നിർബ്ബന്ധിതമാക്കി nirbbandithamakki
അതിൽ athil
കുറഞ്ഞ kuranja
ഇടവേളവിട്ടുള്ള idavelavittulla
അഭിലഷണീയമാണെന്ന abhilashaneeyamanenna
നിർദ്ദേശവും nirddeshavum
ഇതിനൊപ്പമുണ്ട് ithinoppamundu
സ്വീകരിക്കാൻ sweekarikkan
നിവൃത്തിയില്ലാത്ത nivrathiyillatha
അവസ്ഥയിൽ avasthayil
നരകഭയത്തിൽ narakabhayathil
നിന്നല്ലാതെ ninnalathe
നിസ്സ്വാർത്ഥമായ nisswarthamaya
ദൈവസ്നേഹത്തിൽ daivasnehathil
നിന്നുരുവെടുക്കുന്ന ninnuruvedukkunna
ഉത്തമമനസസ്ഥാപവും uthamamanasthapavum
മാരകപാപത്തിൽ marakapapathil
നിന്നുള്ള ninulla
വിമുക്തി vimukthi
നൽകും nalkum
ആ aa
മനസ്താപത്തോടൊപ്പം manasthapathodoppam
സാധിക്കുന്നത്രവേഗത്തിൽ sadhikkunnathravegathil
കുമ്പസാരത്തിൽ kumpasarathil
ഏറ്റുപറയാനുള്ള ettuparayanulla
തീരുമാനവും theerumanavum
ഉണ്ടായിരിക്കണം undayirikkanam
