ഏതു ethu
ജോസഫേട്ടനുതന്നെയാണ് josaphettanuthanneyanu
നമ്മള് nammalu
പാട്ട് pattu
കേക്കണ kekkana
കാസറ്റില്ലേ kasatille
അതുപോലെത്തന്നാ athupolethannaa
ഇതും ithum
ഇതില് ithilu
ചിത്രവുമുണ്ടെന്നു chithravumundennu
ഇനി ini
ഇതങ്ങട്ട് ithangattu
വീണ്ടും veendum
കാണാം kanam
ത്രേസ്യാമ്മക്ക് thresyammakku
സന്തോഷം santhosham
സഹിക്കാനായില്ല sahikkanayilla
രണ്ടുരണ്ടര randurandara
മണിക്കൂറിൽ manikkooril
ഉളവായ ulavaya
രസം rasam
മുഴുവൻ muzhuvan
ഇനിയും iniyum
ആസ്വദിക്കാമെന്നോ aaswadikkamenno
വാതിൽ vathil
തുറന്ന് thurannu
പുറത്തേക്കോടി purathekkodi
തൊട്ടടുത്തുള്ള thottaduthulla
ജലജയുടെ jalajayude
വീടുതൊട്ട് veeduthottu
ഏറ്റവും etavum
അകലെ akale
കോളനിയുടെ kolaniyude
പുറമ്പോക്കിൽ purampokkil
താമസിക്കുന്ന thamasikkunna
കൊച്ചുനാരായണിയുടെ kochunarayaniyude
കുടിലുവരെ kudiluvare
ഒറ്റ ota
വീർപ്പിന്നോടി veerppinnodi
പതിനഞ്ചു pathinanchu
മിനിറ്റുകഴിഞ്ഞ് minitukazhinju
തിരിച്ചെത്തിയപ്പോൾ thirichethiyappol
പിന്നിൽ pinnil
പടയുമുണ്ടായിരുന്നു padayumundayirunnu
സ്വീകരണമുറിയിലേയ്ക്ക് sweekaranamuriyilekku
ഇരച്ചുകയറിയപ്പോൾ irachukeriyappol
ജോമോന്റെ jomonte
കണ്ണു kannu
തള്ളിപ്പോയി thallippoyi
എന്താ entha
അമ്മച്ചി ammachi
ഇത് ithu
കാണിക്കാംന്നല്ലേ kanikkamnalle
പറഞ്ഞത് paranjathu
അവര് avaru
നമ്മടെ nammude
സെറ്റ് settu
കാണാൻ kanan
വന്നതാടാ vannathada
ഒന്ന് onnu
കാണിച്ചു kanichu
കൊടുക്ക് kodukku
അകത്തു akathu
കടന്ന kadanna
സ്ത്രീകളും sthreekalum
കുട്ടികളും kuttikalum
കണ്ട kanda
ഇരിപ്പിടങ്ങളിലും irippidangalilum
നിലത്തും nilathum
ഒക്കെയായി okkeyayi
ഇരിപ്പുറപ്പിച്ചു irippurappichu
കഴിഞ്ഞു kazhinju
കുറച്ചു kurachu
കാലമായി kalamayi
നേടിയെടുത്ത nediyedutha
ഒരവകാശമായിരുന്നു oravakashamayirunnu
അത് athu
ആന്റിയാണ് aantiyanu
ആ aa
വീട്ടിൽ veetil
കോളനിയിലെ kolaniyile
ഓരോരുത്തർക്കും ororutharkkum
സ്വാതന്ത്ര്യമുണ്ട് swathanthryamundu
അവകാശവും avakashavum
ഒരിരുപതുകാരി orirupathukari
ഇരിക്കുന്നതിന്റെ irikkunnathinte
അടുത്ത് aduthu
സോഫയിൽ sofayil
വന്നിരുന്നു vannirunnu
പത്തുമുറിയിലെ pathumuriyile
നളിനിയായിരുന്നു naliniyayirunnu
പിന്നേയും pinneyum
സ്ത്രീകൾ sthreekal
സ്ഥലമില്ലാതെ sthalamillathe
നിന്നപ്പോൾ ninnappol
അവൾ aval
അവരേയും avareyum
സോഫയിലേക്ക് sofayilekku
ക്ഷണിച്ചു kshanichu
അടുത്തേയ്ക്ക് adutheykku
നീങ്ങി neengi
മറ്റുള്ളവർക്ക് matullavarkku
സ്ഥലമുണ്ടാക്കിക്കൊടുത്തു sthalamundakkikoduthu
നിനക്ക് ninakku
നിലത്തിരിക്കാൻ nilathirikkan
പാടില്ലേ padille
ഒച്ചയെടുത്തു ochayeduthu
പിന്നേ pinne
വന്നതല്ലെ vannathalle
നളിനി nalini
ഒന്നുകൂടി onnukoodi
അവനോടു avanodu
ചേർന്നിരുന്നു chernnirunnu
പൊട്ടിത്തെറിച്ച pottithericha
വിത്തായിരുന്നു vithayirunnu
അവൾ aval
കുട്ടിക്കാലം kuttikkalam
തൊട്ടേ thotte
അവനൊരു avanoru
കുരിശായിരുന്നു kurishayirunnu
അവളുമായുണ്ടാകുന്ന avalumayundakunna
അടിപിടിയിൽ adipidiyil
ഓടി odi
രക്ഷപ്പെടുകയാണ് rakshappedukayanu
പതിവ് pathivu
നീ nee
എന്നെ enne
പുകച്ചു pukachu
ചാടിക്കാൻ chadikkan
വന്നതാ vannatha
പിശാച് pishachu
എഴുന്നേറ്റുകൊണ്ടു ezhunnetukondu
മോനെ mone
ഇതൊന്നു ithonnu
കാണിച്ചുകൊടുക്കെടാ kanichukodukkeda
പത്തുമിനുറ്റിന്നുള്ളിൽ pathuminitinullil
മുറി muri
പൊട്ടിച്ചിരി pottichiri
നിറഞ്ഞ niranja
മിനി mini
സിനിമാഹാളായി sinimahallayi
മാറി mari
ഷർട്ടെടുത്തിട്ട് shartteduthittu
പുറത്തേക്കു purathekku
കടന്ന് kadannu
രക്ഷപ്പെടുകയും rakshappedukayum
ചെയ്തു cheythu
കാണികളുടെ kanikalude
ആവേശം aavesham
കണ്ടപ്പോൾ kandappol
ത്രേസ്യാമ്മയുടെ thresyammayude
കച്ചവടബുദ്ധി kachavadabuddhi
ഉണർന്നു unarnnu
പ്രവർത്തിക്കാൻ pravarthikkan
തുടങ്ങി thudangi
ആരും aarum
ശ്രദ്ധിക്കാതെ shraddhikkathe
കൂടിയിരുന്നവരുടെ koodiyirunnavarude
എണ്ണമെടുത്തു ennameduthu
ആദ്യത്തെ aadyathe
പ്രാവശ്യം pravashyam
എണ്ണിയത് enniyathu
ശരിയായില്ല shariyayilla
തോന്നിയപ്പോൾ thonniyappol
വിരലിൽ viralil
എണ്ണം ennam
പിടിച്ചുകൊണ്ട് pidichukondu
ഒരിക്കൽകൂടി orikkalkoodi
എണ്ണി enni
ഇരുപത്തിരണ്ടു oripathirandu
പേരുണ്ട് perundu
അതിൽ athil
ദേവകിയുടെ devakiyude
മകൻ makan
രണ്ടു randu
പെട്ടിട്ടുണ്ടോ pettittundo
സംശയമായി samshayamayi
സാരമില്ല saramilla
ഏകദേശം ekadesham
കണക്കല്ലെ kanakkalle
അപ്പോൾ appol
ഓരോരുത്തരുടെ ororutharude
കയ്യിൽനിന്നും kayyilninnum
ഈരണ്ടു eerandu
വെച്ച് vechu
വാങ്ങിയാൽ vangiyal
ദിവസത്തിൽ divasathil
നാല്പത്തിനാലു nalpatthinalu
രൂപ roopa
മാസം masam
കണക്കു kanakku
കൂട്ടൽ koottal
നിർത്തി nirthi
ചില chila
മാസങ്ങൾക്ക് masangalkku
മുപ്പതു muppathu
ദിവസവും divasavum
ചിലവയ്ക്ക് chilavaykku
മുപ്പത്തിഒന്നു muppathionnu
ഫെബ്രുവരിക്കു februvarikku
തന്നെ thanne
ഇരുപത്തെട്ടും irupathettum
ഇരുപത്തൊമ്പതും erupathompathum
ദിവസങ്ങളം divasangalum
വരുന്നത് varunnathu
ത്രേസ്യാമ്മയെ thresyammaye
വല്ലാതെ vallathe
വിഷമിപ്പിച്ചിരുന്നു vishamippichirunnu
എന്തായാലും enthayalum
നല്ലൊരു nalloru
തുകയുണ്ടാവും thukayundavum
എന്നവർ ennavar
കരുതി karuthi
പോയിക്കഴിഞ്ഞ് poyikkazhinju
കടലാസിൽ kadalasil
കൂട്ടിനോക്കാം koottinokkam
ആറു aaru
കാസറ്റുകളാണ് kasatukalanu
കൊണ്ടുവന്നത് konduvannathu
കാസറ്റുകളൊന്നും kasatukalonnum
സൗജന്യമായി saujanyamayi
കാണിക്കില്ലെന്ന് kanikkillennu
തീർച്ചയാക്കിക്കഴിഞ്ഞു theerchayakkikkazhinju
അക്കാര്യം akkaryam
പറയുന്നതിനുമുമ്പ് parayunnathinumumpu
കസ്റ്റമേഴ്‌സിനെ kastamersine
താൽപര്യമുള്ളവരാക്കാൻ thalparyamullavarakkan
അഞ്ചു anchu
കാസറ്റുകളും kasatukalum
കൊണ്ടുവന്നു konduvannu
കാണിച്ചു kanichu
ഓരോ oro
സിനിമയുടേയും sinimayudeyum
പേര് peru
വിളിച്ചുപറഞ്ഞു vilichuparanju
ഒപ്പം oppam
സദസ്യരിൽനിന്ന് sadasyarilninnu
പ്രതികരണവുമുണ്ടായി prathikaranavumundayi
മമ്മൂട്ടിയുടെ mammoottiyude
പടത്തിന്റെ padathinte
പേർ per
പറഞ്ഞപ്പോൾ paranjappol
ആരാധകർ aaradhakar
ആർത്തുവിളിച്ചു aarthuvilichu
ലാലിന്റെ lalinte
ബഹളമിട്ടു bahalamittu
അവസാനത്തേത് avasanathethu
പ്രേംനസീറിന്റെ premnaseerinte
പടമായിരുന്നു padamayirunnu
ആയ് aayu
നസീറിന്റെ naseerinte
പടം padam
പറഞ്ഞത് paranjathu
ദേവകിയായിരുന്നു devakiyayirunnu
നാൽപ്പത്തഞ്ചു nalppathanchu
വയസ്സായ vayassaya
ദേവകിക്ക് devakikku
പടങ്ങൾ padangal
അവളുടെ avalude
യൗവ്വനം youvvanam
തിരിച്ചുകൊടുത്തു thirichukoduthu
ദാമോദരനുമായി damodaranumayi
ഉണ്ടായിട്ടുള്ള undayittulla
മരംചുറ്റിക്കളി maramchutikkali
ഓർമ്മ ormma
പുളകിതയായി pulakithayayi
നാളെത്തൊട്ട് nalethottu
പടമായി padamayi
കാണിച്ചുതരാം kanichutharam
എല്ലാവരും ellavarum
ഉച്ചതിരിഞ്ഞ് uchathirijhu
മൂന്നുമണിക്ക് moonnumanikku
വന്നാമതി vannamathi
പറഞ്ഞുകഴിഞ്ഞതും paranjukazhinjathum
സന്തോഷത്തിന്റെ santhoshathinte
ആരവം aaravam
ഉയർന്നതും uyarnnathum
ഒന്നിച്ചായിരുന്നു onnichayirunnu
ശബ്ദം shabdam
ഒന്നടങ്ങിയപ്പോൾ onnadangiyappol
ഇത്രയും ithrayum
കൂട്ടിച്ചേർത്തു kootticherthu
വരുമ്പോ varumpo
ഓരോരുത്തരും ororutharum
കയ്യിലെടുത്തോ kayyiledutho
പെട്ടെന്നവിടം pettennavidam
നിശ്ശബ്ദമായി nisshabdamayi
ഒരേ ore
സമയം samayam
ആയിരം aayiram
കണ്ഠങ്ങൾ kanTangal
ഒരുമിച്ച് orumichu
കോറസ്സായി korassayi
പാടി padi
അതെന്തിനാ athenthina
ആന്റീ aantee
സിനിമ sinima
ടിക്കറ്റെടുക്കേണ്ടെ tikkatedukkende
ആന്റീടെ aanteede
വീട്ടില് veetilu
സിനിമ sinima
എന്തിനാ enthina
ടിക്കറ്റ് tikkatu
ദേവകി devaki
നല്ല nalla
കാര്യായി karyayi
നിങ്ങള് ningalu
ഹാളില് hallilu
പോയി poyi
കാണുമ്പോ kanumpo
ടിക്കറ്റ് tikkatu
എടുക്കണ്ടെ edukkande
എന്താ entha
ടിക്കറ്റിനൊക്കെ tikkatinokke
വില vila
എട്ടും ettum
പത്തും pathum
രൂപയില്ലെ roopayille
ഇവിടെ ivide
രൂപയല്ലെ roopayalle
ചാർജ്‌ചെയ്യുന്നുള്ളൂ charju
സദസ്സിൽ sadassil
മുറുമുറുപ്പ് murumurppu
ഉയർന്നു uyarnnu
ചർച്ചക്കെടുക്കപ്പെട്ടു charchakkedukkapettu
നേരത്തെ nerathe
ചർച്ചക്കും charchakkum
അനുരഞ്ജനത്തിന്നും anuranjanathinum
ശേഷം shesham
ഇങ്ങിനെ engine
തീർച്ചയാക്കി theerchayakki
പതിനെട്ടു pathinettu
വയസ്സു vayassu
കഴിഞ്ഞവർ kazhinjavar
രൂപയും roopayum
താഴെയുള്ളവർ thazheyullavar
രൂപയും roopayum
കൊണ്ടുവരണം konduvaranam
പോയിക്കഴിഞ്ഞു poyikkazhinju
വാതിലടക്കാൻ vathiladakkan
പോയപ്പോഴാണ് poyappozhanu
നാരായണിയും narayaniyum
മൂന്ന് moonnu
മക്കളും makkalum
പുറത്തു purathu
നിൽക്കുന്നത് nilkkunnathu
കണ്ടത് kandathu
കൊച്ചുനാരായണീ kochunarayanee
നീ nee
നിക്കണത് nikkanathu
ഒന്നുംല്ല onnumlla
ആന്റി aanti
പറഞ്ഞു paranju
മൂത്തവനായ moothavanaya
മാധവനെ madhavane
ഉന്തിക്കൊണ്ട് unthikkondu
മാധവൻ madhavan
പിന്നോക്കം pinnokkam
വെച്ചു vechu
അമ്മ amma
നാരായണി narayani
ആന്റി aanti
എന്റീം enteem
മക്കടീം makkadeem
കാര്യത്തില് karyathilu
പൈസ paisa
കുറച്ച് kurachu
കുറക്കണം. kurakkanam
രൂപാന്ന്ള്ളത് roopannllathu
അമ്പത് ampathu
ആക്കിക്കൂടെ aaakkikkoode
എന്നാ enna
മക്കൾക്ക് makkalkku
ആഴ്ചയില് aazhchayilu
സിനിമേങ്കിലും sinimenkilum
പറ്റും patum
എനിക്ക് enikku
കാണണംന്ന്ല്ല്യ kaananamnnllya
കെട്ടിയോന് kettiyonu
പണി pani
കുറവാ kurava
ആന്റി aanti
കൊച്ചു kochu
നാരായണിയേയും narayaniyeyum
കുട്ടികളേയും kuttikalayeyum
നോക്കി nokki
താഴെയുള്ള thazheyulla
രണ്ടുപേരും randuperum
പെൺകുട്ടികളാണ് penkuttikalanu
കൗതുകമുള്ള kauthakamulla
കുട്ടികൾ kuttikal
കീറിയ keeriya
ഉടുപ്പുകളാണ് uduppukalanu
ഇട്ടിരിക്കുന്നത് ittirikkunnathu
നാരായണി narayani
ജോലിയെടുക്കുന്ന joliyedukkunna
ഏതെങ്കിലും ethenkilum
വീട്ടിൽനിന്ന് veettilninnu
ഇരന്നുവാങ്ങിയ irannuvangiya
ഉടുപ്പുകളായിരിക്കണം uduppukalayirikkanam
മനസ്സിൽ manassil
സ്‌നേഹം sneham
നാമ്പിട്ടു nambittu
കുട്ടിയുടെ kuttiyude
കവിളിൽ kavilil
തലോടിക്കൊണ്ട് thalodikkondu
കൊച്ചു kochu
നീയും neeyum
തരാതെത്തന്നെ tharathethanne
വന്നുകണ്ടോ vannukando
നിർത്തി nirthi
നാലുപാടും nalupadum
നോക്കിക്കൊണ്ടു nokkikkondu
തുടർന്നു thudarnnu
പക്ഷെ pakshe
ആരോടും aarodum
പറയല്ലേ parayalle
ശരി shari
നിൽക്ക് nilkku
ഞാനിപ്പോ njanippo
വരാം varam
അകത്തുപോയി akathupoyi
പത്തുരൂപ pathuroopa
നോട്ടുമായി nottumayi
വന്നു vannu
നോട്ട് nottu
കയ്യിൽ kayyil
വെച്ചുകൊണ്ട് vechukondu
വല്ലതും vallathum
തിന്നാൻ thinnan
വാങ്ങിക്കൊടുക്ക് vangikkodukku
നിയോ niyo
കാപിറ്റലിസ്റ്റ് kapitalist
ആയുിരുന്നു aayirunnu
കാപിറ്റലിസ്റ്റ് kapitalist
വിത് vit
എ e
ഹ്യൂമൻ hyooman
ടച്ച് tach
അടുത്ത adutha
ദിവസങ്ങളിലായി divasangalilayi
കാസറ്റുകളെല്ലാം kasatukalellam
പ്രദർശിക്കപ്പെട്ടു pradarshikkappettu
മൂന്നു moonnu
മണിയായാൽ maniyayal
ഓരോരുത്തരായി ororutharayi
വരാൻ varan
തുടങ്ങും thudangum
ബൈക്കുമെടുത്ത് baikkumeduthu
അവന്റെ avante
സ്‌നേഹിതന്മാരുടെ snehithanmarude
അടുത്തേക്കു aduthekku
പോകും pokum
അതുകൊണ്ട് athukondu
പിന്നീടുള്ള pinneedulla
മണിക്കൂർനേരം manikkoorneram
എന്താണ് enthanu
സംഭവിക്കുന്നതെന്ന് sambhavikkunnathennu
അവനു avanu
മനസ്സിലായിരുന്നില്ല manassilayirunnilla
ശനിയാഴ്ച shaniyazhcha
രാത്രി rathri
ഊണുകഴിഞ്ഞ് oonukazhinju
പാറുക്കുട്ടി parukkutti
മേശ mesha
വൃത്തിയാക്കി vrithiyakki
പോയപ്പോൾ poyappol
ടിന്നെടുത്ത് tinneduthu
മേശപ്പുറത്തു meshappurathu
അത് athu
ഇരുപത്താറു irupatharu
വയസ്സായിട്ടും vayassayittum
ജോലിയായി joliyayi
പുറത്തൊക്കെ purathokke
പോയിരുന്നിട്ടും poyirunnittum
അവനിപ്പോഴും avanippozhum
അമ്മയുണ്ടാക്കുന്ന ammayundakkunna
മധുരപലഹാരങ്ങൾ madhurapalaharangal
ഇഷ്ടമായിരുന്നു ishtamayirunnu
ഒന്നും onnum
പറയാതെ parayathe
മൂടി moodi
ടിൻ tin
മേശമേൽ meshamel
കമിഴ്ത്തി kamizhthi
കലപിലശബ്ദമുണ്ടാക്കിക്കൊണ്ട് kalapilashabdamundakkikkondu
ടിന്നിൽനിന്ന് tinnilninnu
നാണയങ്ങൾ nanayangal
ചാടി chadi
കൂടെ koode
നോട്ടുകളും nottukalum
ഇതെവിടുന്ന് ithevidunnu
കിട്ടീ kittee
മേശപ്പുറത്തുനിന്ന് meshappurathuninnu
ഉരുണ്ടുപോയ urundupoyi
നാണയം nanayam
പെറുക്കിയെടുത്ത് perukkiyeduthu
കസേലയിൽ kaselayil
ഇരുന്ന് irunnu
എണ്ണാൻ ennan
അപ്പുറത്ത് appurathu
ചുക്കുവെള്ളവുമായി chukkuvellavumayi
ഇരിക്കുന്ന irikkunna
അപ്പച്ചനെ appachane
അമ്മച്ചീടെ ammacheede
ബിസിനസ്സ് bisinassu
സമ്പാദ്യാടാ sambadyada
ജോമോനെ jomone
അയാൾ ayal
കണ്ണിറുക്കിക്കൊണ്ടു kannirukkikkondu
ബിസിനസ്സോ bisinasso
കമ്പനി kambani
ഫ്‌ളോട്ടു flottu
ചെയ്തതായി cheythathayi
അറിയില്ല ariyilla
പബ്ലിക്ക് pablikku
ഇഷ്യുപോലുമുണ്ടായിട്ടില്ല ishtyapolumundayittilla
പണം panam
എണ്ണിക്കൊണ്ടിരിക്കേ ennikkondirikke
അമ്മച്ചിയുടെ ammachiyude
വിവരങ്ങൾ vivarangal
പറഞ്ഞുകൊടുത്തു paranjukoduthu
വാ vaa
തുറന്നിരുന്നു thurannirunnu
അര ara
പ്രയത്‌നത്തിനുശേഷം prayathnathinushesham
എഴുന്നേറ്റത് ezhunnetathu
തുണ്ടു thundu
കടലാസ്സുമായാണ് kadalassumayanu
എഴുതിവെച്ചിരിക്കുന്ന ezhuthivechirikkunna
ജോസഫേട്ടനു josafettanu
നേരെ nere
നീട്ടി neetti
ഇതൊന്ന് ithonnu
ശരിയാക്കിത്താ shariyakkitha
അതു athu
വാങ്ങിനോക്കി vanginokki
25 25
പതിനെട്ട് pathinettu
50 50
ഇരുപത്തിനാല് irupathinalu
ഒറ്റരൂപ otaroopa
നാല്പത്തിയെട്ട് nalpathiyettu
ഇരുപത്തി urupathi
പതിനാറ് pathinaru
അഞ്ചുരൂപ anchuroopa
തല thala
ചൊറിഞ്ഞു chorinju
സങ്കീർണമായൊരു sankeernamayoru
അദ്ദേഹം addeham
ഇതുവരെ ithuvare
കൈകാര്യം kaikaryam
ചെയ്തിട്ടില്ല cheythittilla
കാസറ്റ് kasatu
ലൈബ്രറികളെപ്പറ്റി laibrarikalepati
തന്നെയാണ് thanneyanu
പറഞ്ഞുകൊടുത്തത് paranjukoduthathu
എറണാകുളത്ത് eranakulathu
ധാരാളം dharalam
ലൈബ്രറികളുണ്ട് laibrarikalundu
ഒന്നിൽ onnil
ചേർന്നാൽ chernnal
മതി mathi
വലിയ valiya
മോശമില്ലാതെ moshamillathe
പുരോഗമിച്ചു purogamichu
മോശം mosham
പ്രിന്റ് print
ആയിരിക്കും aayirikkum
കിട്ടുക kittuka
ദിവസം divasam
പിരിച്ചെടുത്ത pirichedutha
തിരിച്ചു thirichu
കൊടുക്കേണ്ടി kodukkendi
വരും varum
എന്നാലും ennalum
കുഴപ്പമില്ല kuzhappamilla
ഇരുപത്തെട്ടാം irupathettam
തിയ്യതി thiyathi
വരുന്നുണ്ടെന്ന varunnundenna
കത്തു kathu
കിട്ടി kitti
ഒരോ oro
ആൺ aan
മക്കളുടെ makkalude
ഒപ്പവും oppavum
മാസം masam
കൂടും koodum
ഒന്നാം onnam
തിയ്യതികളിലാണ് thiyyathikalilanu
കൂടുമാറ്റം koodumatam
ഇപ്രാവശ്യം ipravashyam
തെറ്റിച്ചത് thetichathu
പേരക്കുട്ടി perakkutti
വന്നുപോകുന്നതിനു vannupokunnathinu
മുമ്പ് mumbu
താമസിക്കാനാണ് thamasikkananu
രണ്ടാം randam
തിയ്യതിയാണ് thiyyathiyanu
പോകുന്നത് pokunnathu
അമ്മായിയമ്മയെ ammayiyammaye
ഇഷ്ടമാണ് ishtamanu
ആരെക്കുറിച്ചും aarekkurichum
കുറ്റം kutam
പറഞ്ഞിരുന്നില്ല paranjirunnilla
മാത്രമല്ല mathramalla
മരുമകളെ marumakale
വാനോളം vanolam
